 code  :  pe
000002 : 12.84
000004 : 336.53
000026 : 14.25
000150 : 27.52
000404 : 21.31
000407 : 23.77
000600 : 19.55
000625 : 8.67
000632 : 59.64
000679 : 0.0
000760 : 0.0
000767 : 11.65
000777 : 64.0
000782 : 47.96
000880 : 19.31
000893 : 0.0
000978 : 32.08
000993 : 0.0
001696 : 14.25
002064 : 13.72
002066 : 119.35
002085 : 14.9
002105 : 164.41
002134 : 0.0
002154 : 44.74
002157 : 0.0
002221 : 11.06
002228 : 6.95
002309 : 106.71
002362 : 67.13
002379 : 283.57
002403 : 14.06
002469 : 32.61
002533 : 15.72
002566 : 23.63
002627 : 27.46
002674 : 28.77
002689 : 0.0
002711 : 10.89
002724 : 52.68
002767 : 66.86
002884 : 12.08
300029 : 0.0
300041 : 21.61
300095 : 34.54
300128 : 1278.05
300135 : 50.84
300224 : 67.01
300256 : 34.01
300354 : 528.93
300369 : 0.0
300382 : 28.28
300484 : 92.62
300489 : 95.95
300533 : 31.21
300583 : 24.61
300606 : 22.11
300699 : 30.99
300726 : 35.9
600033 : 9.52
600037 : 15.66
600051 : 16.06
600078 : 91.05
600101 : 19.02
600114 : 10.15
600139 : 0.0
600237 : 163.68
600300 : 24.96
600317 : 23.47
600346 : 19.5
600360 : 37.54
600365 : 117.87
600415 : 7.82
600586 : 10.25
600636 : 10.02
600644 : 18.94
600654 : 0.0
600688 : 8.69
600717 : 12.92
600719 : 67.78
600764 : 357.96
600792 : 357.49
600798 : 19.43
600802 : 6.32
600858 : 17.99
601155 : 9.2
601218 : 0.0
601226 : 238.61
601727 : 22.18
601968 : 99.09
603002 : 32.69
603037 : 10.56
603159 : 39.54
603179 : 10.88
603398 : 68.98
603901 : 32.9
pedictLength : 96
